200.00	231.00	233.00	229.00	341.00	375.00	
204.00	236.00	235.00	230.00	342.00	379.00	
205.00	235.00	235.00	231.00	344.00	379.00	
200.00	235.00	233.00	229.00	343.00	377.00	
200.00	233.00	231.00	227.00	341.00	378.00	
202.00	236.00	235.00	230.00	340.00	378.00	
200.00	237.00	233.00	232.00	340.00	378.00	
203.00	236.00	234.00	232.00	342.00	375.00	
203.00	233.00	234.00	230.00	341.00	373.00	
201.00	233.00	230.00	230.00	338.00	374.00	
203.00	235.00	236.00	230.00	342.00	377.00	
207.00	239.00	238.00	234.00	343.00	379.00	
215.00	245.00	242.00	240.00	352.00	387.00	
