324.00	300.00	323.00	345.00	311.00	339.00	
326.00	302.00	326.00	343.00	313.00	341.00	
331.00	304.00	329.00	352.00	318.00	346.00	
331.00	306.00	330.00	352.00	320.00	347.00	
330.00	304.00	327.00	350.00	320.00	346.00	
326.00	302.00	326.00	345.00	318.00	342.00	
325.00	301.00	322.00	345.00	316.00	339.00	
321.00	296.00	321.00	344.00	311.00	335.00	
320.00	296.00	320.00	339.00	309.00	334.00	
324.00	301.00	322.00	347.00	312.00	340.00	
326.00	301.00	325.00	346.00	315.00	339.00	
332.00	307.00	331.00	349.00	320.00	344.00	
339.00	313.00	338.00	357.00	329.00	353.00	
